# identifier	display name	structural summary	description
hydroxyl	Hydroxyl	oxygen bearing one hydrogen	An oxygen atom bearing one hydrogen.
carbonyl	Carbonyl	carbon double-bonded to oxygen	A carbon double-bonded to oxygen.
primary_amine	Primary amine	nitrogen bearing two hydrogens	A nitrogen atom bearing two hydrogens.
